Id,PC1,PC2,PC3,label
GLY60_M75_O1_1014,-5.126605194,33.53567157,-0.802460904,GLY60
GLY20_M78_O1_1004,-37.63550542,-19.08115782,-5.675827169,GLY20
AIRE_M99_O1_1025,169.529851,-34.87223733,-1.300588347,AIR
GLY30_M49_O1_1004,-42.93730806,-7.716491185,-5.1639221,GLY30
GLY20_M89_O1_1004,-38.43800516,-18.38535765,-5.740465027,GLY20
GLY60_M23_O1_1014,0.071507246,34.00937432,-1.334858843,GLY60
GLY40_M97_O1_1007,-47.88301174,5.653620456,-4.310392657,GLY40
GLY10_M97_O1_1003,-38.9989351,-26.21700654,-1.522508322,GLY10
GLY20_M1_O1_0930,-34.56478204,-15.39078205,-6.483708843,GLY20
AGUA_M46_O1_0928,-49.8242131,-37.07306106,9.47179637,WATER
AIRE_M4_O1_0928,164.1394525,-30.20045592,0.138727997,AIR
GLY70_M76_O1_1018,33.55781445,31.89628242,6.028329581,GLY70
GLY20_M44_O1_1003,-41.40500954,-17.8722923,-3.051639159,GLY20
GLY40_M77_O1_1007,-36.10902397,8.951464656,-9.791724801,GLY40
GLY40_M66_O1_1007,-30.64327828,11.27312608,-11.95905862,GLY40
GLY10_M74_O1_1003,-35.02757681,-28.7829459,-5.290925247,GLY10
GLY20_M16_O1_0930,-39.59393722,-18.05876172,-3.74096581,GLY20
AIRE_M56_O1_1006,172.4110483,-35.53188243,-3.16625741,AIR
AIRE_M25_O1_1003,168.7047118,-33.37760959,-0.166649198,AIR
GLY10_M16_O1_0930,-49.14474099,-28.76950574,3.707018264,GLY10
GLY80_M10_O1_1018,78.21387181,17.6198023,4.147037601,GLY80
GLY40_M37_O1_1006,-48.25682329,9.280482592,-1.556193513,GLY40
GLY80_M80_O1_1025,81.87007186,15.85721173,3.641620736,GLY80
GLY50_M4_O1_1010,-15.28063736,22.64871428,-10.38352176,GLY50
GLY60_M2_O1_1013,-3.18506342,33.29295775,-1.870170592,GLY60
AIRE_M33_O1_1003,172.3154454,-34.97522499,-1.767295314,AIR
GLY80_M16_O1_1018,81.01490833,15.75937145,2.489520964,GLY80
AIRE_M68_O1_1010,173.193025,-35.05968475,-4.655852262,AIR
GLY40_M83_O1_1007,-35.83051056,9.164712545,-10.84437517,GLY40
GLY40_M46_O1_1007,-40.25525484,6.777786698,-8.044795853,GLY40
GLY60_M85_O1_1014,-2.630934655,34.11924709,-0.297282084,GLY60
GLY10_M18_O1_0930,-57.30386633,-33.38639493,10.89619015,GLY10
GLY10_M57_O1_0930,-40.54207831,-27.96609764,-1.725287682,GLY10
GLY20_M97_O1_1004,-39.57872749,-17.27061289,-5.287426636,GLY20
GLY40_M76_O1_1007,-34.48039954,10.32348159,-11.0918361,GLY40
AIRE_M5_O1_0928,164.9460297,-30.48024774,0.273939781,AIR
GLY70_M95_O1_1018,33.39877058,32.19442534,5.912618647,GLY70
GLY50_M76_O1_1013,-21.06362431,29.23669637,-5.430792941,GLY50
GLY80_M74_O1_1025,87.28125716,14.07351346,2.551804239,GLY80
GLY40_M69_O1_1007,-28.48134342,11.3039715,-12.9957689,GLY40
GLY80_M96_O1_1025,81.06404515,15.97723097,3.880603656,GLY80
AIRE_M26_O1_1003,172.8607551,-35.12484987,-1.700715994,AIR
GLY20_M70_O1_1004,-38.33172306,-19.08087623,-5.089499287,GLY20
AIRE_M87_O1_1018,170.4402758,-34.3319198,-3.267050076,AIR
AIRE_M32_O1_1003,172.3292788,-35.83854555,-3.089280232,AIR
GLY50_M69_O1_1010,-14.9677633,26.19962156,-6.506369231,GLY50
AGUA_M17_O1_0928,-46.62428966,-34.75793065,8.387019378,WATER
AIRE_M91_O1_1018,167.1908899,-32.95040096,-1.782770742,AIR
AGUA_M41_O1_0928,-48.14993572,-36.91496279,8.667139501,WATER
GLY40_M40_O1_1007,-36.07600745,10.27640244,-8.91854297,GLY40
GLY30_M70_O1_1005,-42.76692603,-6.865304013,-6.033618298,GLY30
GLY30_M17_O1_1004,-39.3515856,-7.323107597,-6.358562194,GLY30
